siteref,ngr,Area,easting,northing,fieldnum,restdate,resttype,date,Agrostis capillaris,Agrostis stolonifera,Alopecurus geniculatus,Alopecurus pratensis,Anthoxanthum odoratum,Arrhenatherum elatius,Avenula pratense,Avenula pubescens,Bromus hordaceus,Cynosurus cristatus,Dactylis glomerata,Deschampsia cespitosa,Elytrigia repens,Festuca ovina,Festuca rubra,Glyceria fluitans,Holcus lanatus,Holcus mollis,Lolium perenne,Molinia caerulea,Phleum pratense,Poa annua,Poa pratensis,Poa spp,Poa trivialis,Schedonorus pratensis,Trisetum flavescens,Vulpia bromoides,Achillea millefolium,Achillea ptarmica,Alchemilla glabra,Alchemilla xanthochlora,Anemone nemorosa,Anthriscus sylvestris,Bellis perennis,Caltha palustris,Campanula rotundifolia,Cardamine pratensis,Carex disticha,Carex flacca,Carex hirta,Carex nigra,Carex spp,Centaurea nigra,Cerastium fontanum,Cerastium glomeratum,Cirsium arvense,Cirsium palustre,Cirsium vulgare,Conopodium majus,Crepis capillaris,Crepis paludosa,Cruciata laevipes,Digitalis purpurea,Epilobium parviflorum,Equisetum sylvaticum,Euphrasia agg.,Filipendula ulmaria,Galium aparine,Galium mollugo,Galium odoratum,Galium saxatile,Galium spp,Galium verum,Geranium pratense,Geranium sylvaticum,Heracleum sphondylium,Hypochaeris radicata,Juncus acutiflorus,Juncus articulatus,Juncus conglomeratus,Juncus effusus,Juncus inflexus,Lathyrus pratensis,Leontodon autumnalis,Leontodon hispidus,Leucanthemum vulgare,Lotus corniculatus,Lotus  pedunculatus,Luzula campestris,Luzula multiflora,Lychnis flos-culculi,Medicago spp,Montia fontana,Myosotis arvensis,Myosotis discolor,Ophioglossum vulgatum,Plantago lanceolata,Plantago major,Potentilla erecta,Prunella vulgaris,Pteridium aquilineum,Ranunculus acris,Ranunculus bulbosus,Ranunculus ficaria,Ranunculus repens,Rhinanthus minor,Rumex acetosa,Rumex crispus,Rumex obtusifolius,Sanguisorba officinalis,Senecio jacobea,Silene dioica,Sonchus oleraceus,Stachys officianalis,Stellaria graminea,Stellaria holostea,Stellaria media,Succisa pratensis,Taraxacum agg.,Trifolium campestre,Trifolium dubium,Trifolium pratense,Trifolium repens,Urtica dioica,Veronica agrestis,Veronica arvensis,Veronica chamaedrys,Veronica filiformis,Veronica officinalis,Veronica serpyllifoilum,Veronica spp,Vicia cracca,Vicia sepium,Viola
NY61-Bowbridge,NY68609 14650,North Lakes,368609,514650,NY6814 6065,,,05/06/2014,93.75,,12.5,25,25,,,,50,43.75,,,,,6.25,,100,,56.25,,,,,,68.75,,,,,,,,,,,,,31.25,,,,,,,56.25,43.75,,,,,,,,,,,,,6.25,,,,,,,,,6.25,,,,12.5,,,,,,,,,,,,,25,,,12.5,,,,,43.75,,,93.75,50,12.5,,18.75,,,,,,,,,,81.25,,12.5,6.25,18.75,,,,,,,,,,,
NY61-Coat Flatt,NY62112 05837,North Lakes,362112,505837,NY62051184,01/07/2013,Plug plants,05/06/2015,31.25,,,,100,,,,6.25,56.25,,,,,87.5,,100,,31.25,,,,,68.75,,,,,6.25,,,68.75,,,,,,68.75,,,,,,6.25,37.5,,,,,81.25,,,,,,,6.25,12.5,,,,,,,,56.25,,,,,,,,87.5,6.25,,,,,56.25,,,,,,12.5,,100,,,,,100,25,81.25,,56.25,87.5,,6.25,37.5,6.25,,,,,,,,43.75,,,50,62.5,,,,62.5,,,,,,68.75,
NY62-Broom Cottage,NY66745 23667,North Lakes,366745,523667,,,,26/06/2014,,,28.57142857,,28.57142857,,,,,14.28571429,28.57142857,,,,85.71428571,,100,,,,,,85.71428571,,,85.71428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.85714286,,,,,,,,,,,,,,,,,,,,,,,,,,28.57142857,,,42.85714286,71.42857143,100,14.28571429,,14.28571429,,,,,,,,,,,,,14.28571429,28.57142857,,,,,,,,,,
NY70 Wharton Hall 2,NY77074 04263,Pennines,377074,504263,NY7704 1029,,,31/05/2014,100,,,81.25,100,,,,87.5,87.5,12.5,,,,87.5,,100,,100,,18.75,31.25,18.75,,68.75,,,,,,6.25,,,25,87.5,,,100,,,,,,6.25,93.75,37.5,6.25,,,75,,,,,,,62.5,,,,,,,,,,,,,,,,,6.25,62.5,,,,,,,,,18.75,,87.5,,93.75,,,43.75,,100,18.75,93.75,43.75,100,100,,,18.75,,,,,,,,,31.25,,68.75,68.75,100,,,,25,,,37.5,18.75,,,
NY70-Back Field,NY78491 09153,North Lakes,378491,509153,NY7809 4915,,,19/06/2013,43.75,6.25,,25,93.75,6.25,,,93.75,50,18.75,,,,87.5,,100,,100,,,12.5,6.25,,81.25,,68.75,,,,18.75,,,43.75,25,,,100,,,6.25,,,,93.75,,,,,62.5,,,,,,,,37.5,,,,,,,6.25,,,,,,,,,81.25,,,,,,,,,,,,75,,81.25,,,,,100,31.25,100,43.75,62.5,100,,,18.75,,,,,,,,,68.75,,,100,100,,,,43.75,,,,25,,87.5,
NY70-Back Field,NY78090 49150,Pennines,378090,549150,NY7809 4915,,,15/06/2015,31.25,,,25,87.5,,,,100,31.25,6.25,,,,37.5,,100,,100,,,12.5,,,100,,62.5,,,,,,,50,,,,93.75,,,,,,6.25,100,,,,,62.5,,,,,,,,50,,,,,,,,,,6.25,,,,,,62.5,,6.25,,,,,,,,,,43.75,,62.5,,,,,100,6.25,100,43.75,50,100,,12.5,6.25,,,,,,,,,56.25,,,100,93.75,,,,50,,,,,6.25,81.25,
NY70-Cowpasture,NY78326 09295,Pennines,378326,509295,NY7809 3128,,,14/06/2013,,,,18.75,100,,,6.25,62.5,93.75,12.5,,,,100,,100,,93.75,,,62.5,12.5,12.5,87.5,,18.75,,6.25,,,,,,,,,87.5,,,6.25,,,,93.75,,,,,93.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75,,,,,,18.75,6.25,18.75,,,,,100,50,93.75,75,25,100,,,,,,,,,6.25,,,31.25,,,25,100,,,,87.5,,,18.75,,,12.5,
NY70-Harkerland Meadow,NY78417 09878,Pennines,378417,509878,NY78094079,,,01/07/2013,62.5,,,56.25,87.5,18.75,,,100,12.5,68.75,,,,75,,100,,100,,,18.75,12.5,,100,,75,,12.5,,,,,62.5,18.75,,,25,,,,,,,87.5,6.25,,,,75,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,6.25,,100,,,,,100,43.75,12.5,31.25,93.75,100,,,,,,,,25,,,,,,,100,100,,,,56.25,,,6.25,,,56.25,
NY70-Harkerland Meadow,NY78417 09788,Pennines,378417,509788,NY7809 4079,,,09/06/2015,93.75,,,37.5,93.75,,,,100,,18.75,,,,100,,100,,100,,,12.5,37.5,,100,,12.5,,6.25,,,,,43.75,37.5,,,68.75,,,,,,,87.5,,,,,93.75,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,6.25,,,,,,,,,,,87.5,,,,,100,31.25,,62.5,87.5,100,,,,,,,,,,,,,,,93.75,100,,,,62.5,,,,,,68.75,
NY70-Harkerland Pasture,NY78494 09948,Pennines,378494,509948,NY7809 4995,,,01/07/2013,81.25,,,87.5,87.5,6.25,,6.25,100,12.5,56.25,,,,87.5,,100,,100,,,25,12.5,,100,,68.75,,12.5,,,,,50,6.25,,,6.25,,,,,,,93.75,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.75,,,,,100,43.75,,37.5,87.5,100,,,,,,,,,,,,,,,93.75,87.5,,,,56.25,,,6.25,,,81.25,
NY70-Harkerland Pasture,NY78494 09949,Pennines,378494,509949,NY7809 4995,,,23/06/2015,56.25,,,75,93.75,,,18.75,100,6.25,43.75,,,,81.25,,100,,100,,,,56.25,,100,,43.75,,6.25,,,,,62.5,6.25,,,62.5,,,,,,,100,,,,,93.75,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,12.5,,100,,,,,100,6.25,12.5,56.25,93.75,93.75,,,,,,,,,,,,,,,100,100,,,,87.5,,,,,,87.5,
NY70-High Cocklake,NY77883 02213,Pennines,377883,502213,NY7702 8923,,,04/07/2013,81.25,,,12.5,87.5,,,25,,56.25,6.25,6.25,,,75,,100,,50,12.5,,,12.5,,81.25,6.25,18.75,,,6.25,,,,,37.5,12.5,,6.25,,,,6.25,,,31.25,,,,,43.75,,12.5,,,,12.5,43.75,12.5,,,,,,,,,,12.5,50,,12.5,,,37.5,31.25,6.25,,,31.25,,,,,,,18.75,,56.25,,25,18.75,,93.75,,,31.25,50,100,,,,,,,6.25,,,,12.5,43.75,,25,50,37.5,,,,8.333333333,,,,,,,
NY70-High Greenside,NY70672 03707,Pennines,370672,503707,NY7003 7674,,,04/07/2013,18.75,,18.75,50,100,,,,56.25,93.75,18.75,,,,6.25,,93.75,,100,,56.25,6.25,,,100,,18.75,,6.25,,,,,6.25,100,,,,,,,,,,81.25,43.75,,,,6.25,,,,,,,87.5,,,,,,,,,,,25,,,,,,,50,,,,,,,,,,,56.25,,56.25,,,6.25,,100,,,100,100,81.25,,,,,,,,,,,,81.25,,,100,100,,,,18.75,,,,,,,
NY70-High Greenside,NY70672 03706,Pennines,370672,503706,NY7003 7674,,,19/06/2015,,,75,,100,,,,75,100,37.5,,,,100,,93.75,,100,,,18.75,43.75,,87.5,,18.75,,,,,,,6.25,93.75,,,62.5,,,,,,,87.5,81.25,12.5,,,6.25,,,,,,,37.5,,,,,,,,,,,,,,,18.75,,,87.5,6.25,,,,,,,,93.75,,81.25,,62.5,,,,,100,,,100,81.25,93.75,0,6.25,6.25,,,,,,,,,75,,,100,100,,,,25,,,12.5,,,,
NY70-Kilnmire 1,NY71645 02971,Pennines,371645,502971,NY7102 6597,,,14/06/2015,,6.25,,,100,,,,,100,25,,,,37.5,,100,,93.75,,,,6.25,,43.75,,,,6.25,,6.25,,,12.5,100,56.25,,18.75,,,,,,,100,,,,,6.25,,,,,,,100,25,,,,,,,,37.5,,6.25,,,,,,,100,,,,,,,,,43.75,,93.75,,87.5,,,18.75,,100,,,93.75,100,100,,6.25,75,,,,,,,,,93.75,,,100,100,,,,,,,,,,,
NY70-Kilnmire 2,NY72088 03207,Pennines,372088,503207,NY7203 0922,,,30/06/2015,83.33333333,,55.55555556,22.22222222,100,,5.555555556,,11.76470588,94.44444444,,,,,83.33333333,,94.44444444,,94.44444444,,,5.555555556,16.66666667,,77.77777778,55.55555556,16.66666667,,,5.555555556,,,,,83.33333333,50,,55.55555556,,,,5.555555556,,5.555555556,77.77777778,5.555555556,,,,,,,,,,,44.44444444,77.77777778,,,,,,,,5.555555556,,5.555555556,,,,,,50,94.44444444,,,,,5.555555556,,,,16.66666667,,94.44444444,,77.77777778,,5.555555556,55.55555556,,100,,,100,94.44444444,100,,,72.22222222,,,,5.555555556,,,,,27.77777778,,,100,100,,,,11.11111111,,,,,5.555555556,,
NY70-Lockholme 1,NY74195 02638,Pennines,374195,502638,NY7402 1964,,,13/06/2014,75,,5,65,70,,,,95,60,10,,,,,,100,,100,,,,,,85,,85,,,,,,,,55,85,,,25,,,,,,,100,,15,,,25,,,,,,,,10,,,,,,,,35,5,,,,,,,,5,,,,,,,,,,,75,,30,,,,,100,,,85,95,80,,,15,,,,,,,,,,,,95,95,,,,10,,,15,,,5
NY70-Lockholme 2,NY73516 02572,Pennines,373516,502572,NY7302 7763,,,12/06/2014,18.75,31.25,81.25,37.5,93.75,,,,93.33333333,12.5,37.5,,,,,,100,,100,,25,50,6.25,,100,43.75,,,,,12.5,12.5,,6.25,93.75,31.25,,93.75,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,100,,93.75,,,,,,,100,,37.5,93.75,87.5,100,,12.5,37.5,,,,,,,,,18.75,,,75,100,,,31.25,,,,25,,,,
NY70-Lockholme 3,NY73268 02718,Pennines,373268,502718,NY7302 2975,,,17/06/2014,18.75,43.75,100,12.5,100,,,,62.5,100,,,,,,12.5,100,,100,,18.75,18.75,,,93.75,,,,,,,,,,,100,12.5,,100,,,,,,,56.25,93.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.75,,,,,,,,,100,,93.75,,6.25,,,,,100,,,100,100,100,,31.25,,,,,,,,,,31.25,,,81.25,100,,,12.5,,,,18.75,,,
NY70-New Close Meadow,NY79027 09394,Pennines,379027,509394,NY7909 0542,,,21/06/2014,81.25,,,43.75,81.25,37.5,,,100,100,81.25,,,,100,,100,,100,,,6.25,,,100,,87.5,,12.5,,,,,43.75,50,,,81.25,,,,,,,93.75,,,,,56.25,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,6.25,,93.75,,,6.25,,100,43.75,,,56.25,100,,,,,,,,6.25,,,,18.75,,,87.5,100,,,,75,,,6.25,,,18.75,
NY70-New Close Meadow,NY79027 09394,Pennines,379027,509394,NY7909  0542,,,25/06/2015,100,,,50,95,,,30,100,100,30,,,,100,,100,,100,,,30,100,,100,,60,,16.66666667,,,,,55,55,,,65,,,,,,,100,,,,,95,,,,,,,75,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,40,,90,,,33.33333333,,100,,30,20,100,100,,,,,,,,,,,,,,16.66666667,100,100,,,,66.66666667,,,,,,16.66666667,
NY70-Rowfoot 2,NY72932 02890,Pennines,372932,502890,NY7202 9389,,,19/07/2013,56.25,,18.75,,100,,,,50,100,,6.25,,,100,,100,,75,,,,31.25,,93.75,18.75,,,,,,,,,18.75,,,87.5,,,,,,12.5,100,12.5,,,,,,,,,,,100,,,,,,81.25,,,,,12.5,,6.25,12.5,,,,,,,,,,,,,6.25,,100,,93.75,,,6.25,,100,,,100,100,100,6.25,6.25,,,,,,,,,,68.75,,56.25,68.75,81.25,,,,12.5,,,,,,,
NY70-Shady Hill,NY78587 09117,Pennines,378587,509117,NY7809 5811,,,02/07/2015,12.5,,,56.25,56.25,,6.25,,100,87.5,6.25,,,,93.75,,100,,100,,,,,,100,,93.75,,12.5,,,,,100,12.5,,,75,,,,,,,100,,,,,50,,,,,,,,,,,,,,,43.75,6.25,,,,,,,,,,,,,0,,,,,,,43.75,,62.5,,,,,100,,,37.5,87.5,100,,,,,,,,,,,,43.75,,,68.75,43.75,6.25,,,87.5,,,,,,37.5,
NY70-Shadyhill,NY78587 09117,Pennines,378587,509117,NY78095811,,,19/06/2013,12.5,,,62.5,75,31.25,,,100,50,31.25,,,,87.5,,100,,100,,,18.75,6.25,,100,,81.25,,6.25,,,,,81.25,18.75,,,68.75,,,,,,,81.25,,6.25,,,75,,,,,,,,,6.25,,,,,,43.75,,,,,,,,,,,,,,,,,,,,,6.25,,12.5,,,,,93.75,37.5,87.5,31.25,25,75,,6.25,,,,,,,,,,37.5,,,37.5,68.75,,,,75,,,,,,18.75,
NY70-Wharton Hall 1,NY76926 04130,Pennines,376926,504130,NY7604 9314,01/07/2014,Plug plants,09/06/2014,100,,,68.75,100,,,,93.75,81.25,50,,,,56.25,,100,,100,,6.25,56.25,37.5,,81.25,,,,6.25,,,,,6.25,81.25,,,87.5,,,,,,,100,37.5,,,,43.75,,,,,,,68.75,,,,,,,,,,,,,,,,,,31.25,,,,,6.25,,,,6.25,,100,,87.5,,,56.25,,100,,31.25,75,87.5,100,,,,,,,,,,6.25,,31.25,,81.25,68.75,93.75,,,,25,,,18.75,18.75,,,
NY70-Wharton Hall 4,NY77085 04100,Pennines,377085,504100,NY7704 0811,01/07/2014,Plug plants,13/06/2014,81.25,,,25,100,,6.25,6.25,50,93.75,25,,,,75,,100,,100,,,6.25,56.25,,43.75,,6.25,,,,12.5,,,12.5,50,,,100,,,,,,,93.75,,,,,31.25,,,,,,,50,,,,,,,,,,,,,,,,,,25,6.25,,,,18.75,,,,,,50,,87.5,,,50,,100,6.25,12.5,50,62.5,100,,,6.25,,,,,,,,,56.25,,43.75,68.75,100,,,,6.25,,,37.5,,6.25,,
NY70-Wharton Hall3,NY77213 04245,Pennines,377213,504245,NY7704 2122,01/07/2014,Plug plants,17/06/2014,100,,,,100,,,,100,87.5,33.33333333,,,,100,,100,,100,,,,31.25,,62.5,,6.25,,6.25,,,,,25,87.5,,,93.75,,,,,,,100,,,,,50,,,,,,,93.75,,,,,,,,,,,12.5,,,,,,,81.25,,,,,12.5,,,,,,81.25,,93.75,,,56.25,,100,,,62.5,100,100,,,12.5,,,,,,,,,37.5,,81.25,75,100,,,44.44444444,18.75,,,43.75,,,,
Ny70-Whygill Head 1,NY70320 10152,Pennines,370320,510152,NY7010 3215,,,07/06/2014,29.41176471,,,29.41176471,82.35294118,,,,100,88.23529412,70.58823529,,,,88.23529412,,94.11764706,,100,,,,94.11764706,,47.05882353,,,,,,,29.41176471,,70.58823529,100,,,94.11764706,,,,,,,94.11764706,52.94117647,,,,64.70588235,,,,,,,,,,,,,,,,,,,,,,,,,5.882352941,,,,,5.882352941,,,,,,35.29411765,,88.23529412,,,,,94.11764706,,,41.17647059,64.70588235,100,,,,,,,,,,11.76470588,,17.64705882,,70.58823529,82.35294118,100,,,,64.70588235,,,,,,,
NY70-Whygill Head 2,NY70388 10168,Pennines,370388,510168,NY7010 3918,,,12/06/2014,,,,50,87.5,12.5,,,100,93.75,81.25,,,,75,,100,,100,,,31.25,,,87.5,,12.5,,,,,18.75,,56.25,100,,,6.25,,,,,,,100,31.25,,,,50,,,0,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,50,,62.5,,,,,100,,,31.25,93.75,100,,,6.25,,,,,,,6.25,,56.25,,87.5,25,100,,,37.5,31.25,,,12.5,,,6.25,
NY70-Whygill Head 3,NY70390 09858 ,Pennines,370390,509858,NY7009 3986,,,13/06/2014,5,,,30,95,,,,100,90,25,,,,5,,100,,100,,,25,60,,95,,20,,5,,15,5,,75,100,,,95,,,,,,10,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,40,35,,,,,,,5,,75,,90,,,,,100,,,100,95,100,,15,,,,,,,,25,,85,,80,80,100,,,85,20,,,,,,,
NY71-Great Musgrave 1,NY76426 13300,Pennines,376426,513300,NY7316 4328,,,05/07/2013,87.5,,,68.75,100,,,,56.25,100,,6.25,,,81.25,6.25,100,,68.75,,,6.25,18.75,,100,,6.25,43.75,,,,,,,,,,,,,,,6.25,6.25,62.5,,,,6.25,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,68.75,,100,,,,,100,,,100,100,100,,,,,,,,,,,,25,,93.75,100,25,,,,,,,,,,,
NY71-Great Musgrave 2,NY76317 13206,Pennines,376317,513206,NY7613 3018,,,21/06/2013,50,5,,35,70,5,5,,90,45,65,,15,,100,,75,15,75,,,5,55,,85,,15,35,15,,,,,10,5,,,10,,,,,,5,95,,40,,5,30,,,5,,,,,5,10,,,,,,,,10,15,,,,,,,5,,,,,,,,,,,45,,95,,,,,55,5,,45,80,55,,,,,,,,,,5,,15,,95,100,25,,,,30,,,,,,,
NY71-Great Musgrave 3,NY76107 13288,Pennines,376107,513288,NY76131129,,,08/07/2013,6.25,100,,100,18.75,,,,87.5,12.5,,,6.25,,,,93.75,62.5,100,,43.75,,,,100,,6.25,12.5,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,25,,37.5,,,,,12.5,,,,43.75,56.25,,6.25,,,,,,,,,,6.25,,56.25,37.5,6.25,,,,,,,,,,,
NY75 Piper Hole 2,NY72599 03329,Pennines,372599,503329,NY7203 6033,,,06/06/2014,,,6.25,18.75,100,,,,56.25,100,43.75,,,,6.25,,100,,100,,,6.25,6.25,,50,,6.25,,6.25,,25,31.25,,50,93.75,12.5,,50,,,,18.75,,6.25,62.5,,,,,50,,,,,,,37.5,37.5,,,,,,,,18.75,,,,,,,,31.25,37.5,31.25,,,,6.25,,,,,,75,,100,,,25,,100,,,37.5,100,100,,,87.5,,,,,,,,,37.5,,,100,100,,,,12.5,,,,,,12.5,
NY75-Piper Hole 1,NY72517 03355,Pennines,372517,503355,NY7203 5137,,,03/06/2014,,,,,100,,,,93.75,100,25,,,,93.75,,100,,100,,,,18.75,,56.25,,6.25,,,,56.25,50,,25,100,,,56.25,,,,,,37.5,56.25,,,,,50,,,,,,,93.75,50,,,,,,,,12.5,81.25,,,,,,,56.25,,87.5,,,,,,,,6.25,,12.5,,93.75,,,50,,100,18.75,37.5,68.75,100,100,,,43.75,,,,,,,,,100,,18.75,100,100,,,,,,,,,,,
NY75-Piper Hole 3,NY72794 03280,Pennines,372794,503280,NY720 8029,,,16/06/2014,56.25,,,25,100,,,,93.75,93.75,25,,,,43.75,,100,,100,,6.25,,,,50,,56.25,,,,56.25,43.75,,62.5,100,,,31.25,,,,,,62.5,100,,,,,68.75,,,,,,,87.5,31.25,,,,,,,,56.25,87.5,,,,,,,50,18.75,75,,,,,,,,6.25,,62.5,,100,,,,,100,,,43.75,100,100,,6.25,100,,,,,,,,,93.75,,,100,100,,,,,,,,,6.25,6.25,
NY75-Piper Hole 4,NY72756 63163,Pennines,372756,563163,NY7203 7516,,,15/06/2014,100,,,60,100,,,,65,85,70,,,,20,,100,,95,,30,,,,50,,10,,5,,80,50,,55,40,,,15,,,,,,,25,,,,,15,,,,,,,,5,,,,,,,15,90,70,,,,,,,45,,30,,,,,,,,,,,,100,,,,,100,,,70,100,80,,,100,,,,,5,,,,10,,,80,80,,,,5,,,,,25,20,
SD29-Lambgarth,SD24012 90260,South Lakes,324012,490260,,,,06/06/2014,100,,6.25,12.5,75,,6.25,,,100,18.75,,,,62.5,,75,6.25,93.75,,6.25,,6.25,,25,,,,12.5,,,,,,6.25,,,62.5,,,,,,18.75,87.5,,,,,12.5,,,,,,,87.5,,,,,,,,,,,87.5,,,,6.25,,6.25,37.5,43.75,93.75,,,,,,,,,25,,100,,,62.5,,87.5,43.75,,37.5,81.25,100,,6.25,,,,,,,,,,50,,100,93.75,87.5,,,,,,,,,,6.25,
SD38-Fellfoot,SD37860 56440,South Lakes,337860,456440,SD3786 5644,,,08/07/2013,100,,,15,100,,,,,100,60,5,,,100,,100,,,,,10,,,20,,,,100,,,,,,25,,,45,,,,,,20,45,,,,,20,,,,,,,100,,,,,,,,,,,100,,,,,,,80,15,30,,,20,,,,10,,,,100,,,85,,95,,,5,90,100,,,,,,,,5,,,,65,,20,100,100,,,,,,,,,5,,
SD38-Fellfoot,,South Lakes,,,,,,23/06/2015,85,,,15,100,,,,,90,60,,,,100,,100,,85,,,10,95,,70,,45,,10,,,,,,5,,,55,,,,,,15,30,,,,,50,,,,,,,100,,,,,,,,,,,95,,,,,,,95,,55,,,20,,,,,,,,100,,,80,,95,15,10,5,100,100,,,,,,,,5,,,,60,,30,100,95,,,,,,,,,,,
SD49-Sprint Mill 1,SD52032 95950,South Lakes,352032,495950,SD5295 0295,,,09/06/2015,100,,,37.5,93.75,,,,12.5,93.75,43.75,,,,100,,100,,81.25,,,,,,93.75,,,,18.75,,,,,,,,,75,,,,,,6.25,73.33333333,,,,,6.25,,,,,,,81.25,,,,,,,,,,,,,,,6.25,,,31.25,,,,,,,,,,,50,12.5,93.75,,,31.25,,100,56.25,18.75,100,100,87.5,,,6.25,,,,,,,,,81.25,,25,100,93.75,,,,18.75,,,12.5,,,,
SD49-Staveley 1,SD47314 97947,South Lakes,347314,497947,SD4797 3689,,,01/07/2013,100,,,,100,,,,,62.5,6.25,,,,18.75,,100,,62.5,,,,,,6.25,,,,50,,,6.25,,,,,,37.5,,,,,,25,31.25,,,,,12.5,,,,,,,100,,,,,,,,,,,68.75,,,,,,,81.25,,25,,,,,,,,,,,87.5,,,37.5,,100,6.25,,100,100,100,,,6.25,,,,,,,,,86.66666667,,,50,93.75,,,,,,,12.5,,,,6.25
SD49-Staveley 1,SD47314 97947,South Lakes,347314,497947,SD4797 3689,,,10/06/2015,100,,,5,100,,,,,90,5,,,,100,,100,,35,,,,,,30,,,,50,,,,,,5,,,35,,,,,,35,60,,,,,10,,,,,,,100,,,,,,,,,,,85,,,,,,,100,80,10,,,,,,,,,20,,90,,,35,,100,20,,60,100,100,,5,20,,,,,5,,,,30,,,70,90,,,,5,,,,,,,
SD49-Staveley 2,SD47729 97824,South Lakes,347729,497824,SD4797 7683,,,01/07/2013,100,,,,100,,,,,56.25,6.25,,,,37.5,,100,,56.25,,12.5,,,,,,,,18.75,,,,,,,,,43.75,,,,,,31.25,75,,,,,25,12.5,,,,,,100,,,,,,,,,,,68.75,,,,,,,100,,18.75,,,,,,,,,6.25,,68.75,,,18.75,,100,56.25,,81.25,100,100,,6.25,31.25,,,,,,,,,62.5,,,37.5,100,,,,6.25,,,,,,,
SD49-Staveley 3,SD47288 98431,South Lakes,347288,498431,SD4798 2940,,,04/07/2015,93.75,,,6.25,93.75,,,,,62.5,50,,,,87.5,,93.75,,6.25,,,,18.75,,6.25,,,,,,,,,,,,,12.5,,,,,,25,50,,,,,,,,,,,,81.25,,,,,,,,,,,93.75,,,,,,,12.5,,,,12.5,50,,,,,,,,100,,,14.28571429,,100,,,25,100,87.5,,6.25,,,,,,,,,,81.25,,6.25,25,50,,,,6.25,,,,,,,
SD49-Staveley 5,SD47671 98159,South Lakes,347671,498159,SD4798 6716,,,05/07/2015,100,,,5,100,,,,,20,,,,,35,,100,,20,,,,,,,,,,45,,,,,,,,,40,,,,,,,65,,,,,10,,,,,,,100,,,,,,,,,,,20,,,,,,,,10,,,,15,,,,,,5,,80,,,15,,100,,,100,95,100,,,5,,,,,,,,,90,,,15,95,,,,35,,,,,,,
SD57-Park Wood,SD56662 77803,South Lakes,356662,477803,,,,14/07/2013,93.75,12.5,,12.5,100,,,,,56.25,18.75,,,,100,,100,,81.25,,43.75,,12.5,,75,,12.5,,,,,,,,,,,25,6.25,12.5,87.5,,,12.5,87.5,,,,,,,,,,,,25,,,,,,,,,,,,6.25,,,,,56.25,,,,18.75,,37.5,,,,,,,,81.25,,6.25,31.25,,87.5,18.75,6.25,87.5,,100,,,,,,,,6.25,,,,31.25,,,37.5,81.25,,,,43.75,,,6.25,,,6.25,
SD59-Heinz,SD 51683 94235,South Lakes,351683,494235,,,,23/07/2013,100,68.75,37.5,6.25,,,,,,6.25,,,,,56.25,,93.75,,100,,,18.75,,,6.25,,,,,,,,,,,,,100,,,,,,,53.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,14.28571429,,,86.66666667,,,,,,,,,,,,,,53.33333333,,,,6.666666667,,,,20,,,,,,,
SD59-Sprint Mill 1,SD52032 95950,South Lakes,352032,495950,SD5295 0295,,,25/06/2013,18.75,,,75,100,,,,6.25,100,75,,,,100,,100,6.25,100,,6.25,,6.25,,,18.75,6.25,,18.75,,,,,,,,,56.25,,,,,,,75,,,,,,,,,,,,100,,,,,,,,,,,,,6.25,,,,,,31.25,,,,6.25,,,,,,68.75,25,93.75,,,25,,100,12.5,,100,100,100,,,,,,,,56.25,,,,100,31.25,,81.25,93.75,,,,37.5,,,,,,,
SD59-Sprint Mill 2,SD52092 95817,South Lakes,352092,495817,SD5295 0980,,,10/07/2013,100,,,31.25,100,,,,,100,56.25,,,,100,,100,,62.5,,,,100,,12.5,,,,,,,,,,,,,6.25,,,,,,,56.25,,,,,,,,,,,,12.5,,,,,,,,,,6.25,6.25,,,,,,,,,6.25,,,13.33333333,,,,,,,,56.25,,,6.25,,100,,,,87.5,100,,,,,,,,,,,,93.75,,6.25,87.5,93.75,,,,12.5,,,,,,,
